,year,district,month,season,incident_count_in_district_-_non-ems,incident_count_in_district_-_ems,nc_name,avg_travel_time_ems,avg_travel_time_non_ems,avg_turnout_time_non_ems,avg_turnout_time_ems
143,2013,12,Jan,winter,46,205,HISTORIC HIGHLAND PARK NC,225,223,71,67
144,2013,12,Feb,winter,30,162,HISTORIC HIGHLAND PARK NC,230,235,70,68
145,2013,12,Mar,spring,30,224,HISTORIC HIGHLAND PARK NC,223,251,70,66
146,2013,12,Apr,spring,41,175,HISTORIC HIGHLAND PARK NC,238,238,77,74
147,2013,12,May,spring,31,257,HISTORIC HIGHLAND PARK NC,232,288,75,70
148,2013,12,Jun,summer,37,202,HISTORIC HIGHLAND PARK NC,218,225,74,72
149,2013,12,Jul,summer,35,181,HISTORIC HIGHLAND PARK NC,208,311,71,70
150,2013,12,Aug,summer,42,209,HISTORIC HIGHLAND PARK NC,221,247,74,70
151,2013,12,Sep,fall,18,199,HISTORIC HIGHLAND PARK NC,231,231,87,71
152,2013,12,Oct,fall,39,218,HISTORIC HIGHLAND PARK NC,231,201,70,67
153,2013,12,Nov,fall,34,164,HISTORIC HIGHLAND PARK NC,214,233,77,74
154,2013,12,Dec,winter,25,189,HISTORIC HIGHLAND PARK NC,213,268,85,70
155,2013,12,Overall 2013,Overall 2013,408,2385,HISTORIC HIGHLAND PARK NC,224,245,74,70
156,2013,13,Jan,winter,65,366,PICO UNION NC,199,206,71,73
157,2013,13,Feb,winter,46,319,PICO UNION NC,203,200,67,70
158,2013,13,Mar,spring,49,360,PICO UNION NC,201,260,74,70
159,2013,13,Apr,spring,65,315,PICO UNION NC,200,233,68,68
160,2013,13,May,spring,66,364,PICO UNION NC,204,253,67,74
161,2013,13,Jun,summer,49,370,PICO UNION NC,209,192,76,73
162,2013,13,Jul,summer,72,324,PICO UNION NC,212,201,73,71
163,2013,13,Aug,summer,76,381,PICO UNION NC,210,266,72,75
164,2013,13,Sep,fall,45,327,PICO UNION NC,202,226,75,74
165,2013,13,Oct,fall,73,263,PICO UNION NC,218,185,72,74
166,2013,13,Nov,fall,64,346,PICO UNION NC,208,221,78,75
167,2013,13,Dec,winter,65,350,PICO UNION NC,219,222,69,73
168,2013,13,Overall 2013,Overall 2013,735,4085,PICO UNION NC,207,222,72,73
169,2013,14,Jan,winter,65,252,SOUTH CENTRAL NC,188,162,74,64
170,2013,14,Feb,winter,29,237,SOUTH CENTRAL NC,201,187,73,64
171,2013,14,Mar,spring,38,258,SOUTH CENTRAL NC,188,164,68,65
172,2013,14,Apr,spring,31,293,SOUTH CENTRAL NC,181,208,71,63
173,2013,14,May,spring,48,243,SOUTH CENTRAL NC,175,159,69,64
174,2013,14,Jun,summer,53,267,SOUTH CENTRAL NC,191,172,62,64
175,2013,14,Jul,summer,61,244,SOUTH CENTRAL NC,199,180,62,66
176,2013,14,Aug,summer,64,272,SOUTH CENTRAL NC,190,183,69,65
177,2013,14,Sep,fall,58,257,SOUTH CENTRAL NC,181,199,73,65
178,2013,14,Oct,fall,64,244,SOUTH CENTRAL NC,175,188,65,64
179,2013,14,Nov,fall,37,256,SOUTH CENTRAL NC,199,216,83,66
180,2013,14,Dec,winter,54,280,SOUTH CENTRAL NC,194,208,66,67
181,2013,14,Overall 2013,Overall 2013,602,3103,SOUTH CENTRAL NC,188,184,69,65
182,2013,15,Jan,winter,68,316,EMPOWERMENT CONGRESS NORTH AREA NDC,222,248,73,79
183,2013,15,Feb,winter,68,304,EMPOWERMENT CONGRESS NORTH AREA NDC,214,209,77,77
184,2013,15,Mar,spring,59,312,EMPOWERMENT CONGRESS NORTH AREA NDC,220,176,65,77
185,2013,15,Apr,spring,68,313,EMPOWERMENT CONGRESS NORTH AREA NDC,200,170,76,77
186,2013,15,May,spring,67,333,EMPOWERMENT CONGRESS NORTH AREA NDC,213,199,76,76
187,2013,15,Jun,summer,69,286,EMPOWERMENT CONGRESS NORTH AREA NDC,201,199,70,75
188,2013,15,Jul,summer,67,292,EMPOWERMENT CONGRESS NORTH AREA NDC,214,238,73,75
189,2013,15,Aug,summer,68,316,EMPOWERMENT CONGRESS NORTH AREA NDC,199,221,67,78
190,2013,15,Sep,fall,81,344,EMPOWERMENT CONGRESS NORTH AREA NDC,206,219,69,79
191,2013,15,Oct,fall,81,348,EMPOWERMENT CONGRESS NORTH AREA NDC,215,184,72,80
192,2013,15,Nov,fall,82,336,EMPOWERMENT CONGRESS NORTH AREA NDC,228,218,61,75
193,2013,15,Dec,winter,71,270,EMPOWERMENT CONGRESS NORTH AREA NDC,208,211,71,77
194,2013,15,Overall 2013,Overall 2013,849,3770,EMPOWERMENT CONGRESS NORTH AREA NDC,212,208,71,77
195,2013,16,Jan,winter,26,94,LA-32 NC,269,265,86,80
196,2013,16,Feb,winter,31,97,LA-32 NC,315,303,80,73
197,2013,16,Mar,spring,18,104,LA-32 NC,258,258,81,82
198,2013,16,Apr,spring,24,97,LA-32 NC,309,375,94,77
199,2013,16,May,spring,22,82,LA-32 NC,335,304,77,78
200,2013,16,Jun,summer,12,83,LA-32 NC,301,394,93,85
201,2013,16,Jul,summer,21,87,LA-32 NC,279,325,70,84
202,2013,16,Aug,summer,23,75,LA-32 NC,254,290,76,85
203,2013,16,Sep,fall,32,93,LA-32 NC,291,340,71,80
